Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,ponto_X_01_vermelho
Duration Time,30918
Ambient Temperature,98.7
Detector Temperature,-15.0
Valid Accumulated Counts,760161
Raw Accumulated Counts,811360
Valid Count Last Packet,26099
Raw Count Last Packet,28010
Live Time,29.102001
HV DAC,170
HV ADC,40.000000
Filament DAC,201
Filament ADC,10.000000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0886
Number of Channels,2048
Vacuum,774
Channel#,Intensity
0,819
1,764
2,564
3,293
4,122
5,52
6,19
7,2
8,2
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,4
30,30
31,83
32,97
33,108
34,131
35,124
36,114
37,122
38,125
39,120
40,122
41,113
42,111
43,111
44,118
45,128
46,110
47,130
48,135
49,119
50,120
51,106
52,118
53,122
54,106
55,115
56,122
57,117
58,115
59,103
60,126
61,115
62,105
63,129
64,123
65,101
66,120
67,108
68,120
69,119
70,113
71,117
72,128
73,127
74,120
75,89
76,99
77,113
78,113
79,102
80,92
81,102
82,88
83,130
84,94
85,101
86,109
87,132
88,125
89,111
90,119
91,100
92,98
93,90
94,105
95,125
96,96
97,116
98,122
99,115
100,129
101,118
102,121
103,92
104,102
105,104
106,127
107,135
108,144
109,177
110,190
111,262
112,322
113,421
114,424
115,473
116,402
117,378
118,320
119,273
120,214
121,205
122,200
123,217
124,190
125,233
126,208
127,260
128,360
129,528
130,709
131,994
132,1279
133,1396
134,1495
135,1488
136,1370
137,1211
138,1150
139,1089
140,1098
141,1197
142,1160
143,1261
144,1363
145,1451
146,1608
147,1626
148,1461
149,1382
150,1118
151,1000
152,958
153,1032
154,1148
155,1234
156,1258
157,1201
158,1102
159,919
160,793
161,721
162,716
163,718
164,788
165,865
166,823
167,783
168,666
169,575
170,497
171,413
172,403
173,405
174,338
175,381
176,398
177,439
178,479
179,564
180,728
181,956
182,1120
183,1201
184,1227
185,1089
186,883
187,737
188,561
189,429
190,323
191,278
192,285
193,264
194,322
195,380
196,419
197,447
198,459
199,453
200,481
201,403
202,394
203,318
204,292
205,260
206,238
207,273
208,244
209,254
210,228
211,279
212,300
213,333
214,414
215,557
216,742
217,1142
218,1626
219,2215
220,2727
221,3184
222,3362
223,3306
224,2777
225,2283
226,1678
227,1208
228,862
229,618
230,443
231,365
232,371
233,433
234,603
235,789
236,1157
237,1450
238,1898
239,2172
240,2350
241,2362
242,2232
243,1974
244,1662
245,1371
246,1133
247,860
248,678
249,610
250,535
251,512
252,575
253,618
254,719
255,875
256,952
257,959
258,859
259,749
260,684
261,521
262,447
263,346
264,310
265,276
266,370
267,328
268,312
269,371
270,418
271,444
272,461
273,497
274,521
275,586
276,602
277,593
278,508
279,434
280,362
281,363
282,374
283,358
284,364
285,357
286,381
287,403
288,434
289,434
290,410
291,415
292,388
293,349
294,381
295,379
296,346
297,334
298,347
299,305
300,333
301,332
302,322
303,329
304,332
305,325
306,328
307,377
308,373
309,402
310,419
311,463
312,486
313,570
314,590
315,696
316,746
317,816
318,791
319,728
320,709
321,578
322,564
323,474
324,410
325,386
326,383
327,360
328,330
329,343
330,371
331,306
332,339
333,330
334,389
335,375
336,363
337,396
338,420
339,448
340,440
341,472
342,470
343,507
344,508
345,490
346,517
347,463
348,434
349,434
350,433
351,447
352,429
353,440
354,436
355,422
356,438
357,440
358,484
359,524
360,544
361,600
362,639
363,685
364,695
365,759
366,774
367,910
368,910
369,939
370,975
371,1041
372,970
373,917
374,829
375,706
376,592
377,508
378,451
379,416
380,365
381,342
382,338
383,329
384,325
385,321
386,345
387,310
388,342
389,362
390,366
391,384
392,351
393,355
394,364
395,390
396,376
397,441
398,458
399,414
400,459
401,422
402,423
403,402
404,440
405,490
406,463
407,500
408,542
409,515
410,557
411,577
412,600
413,627
414,582
415,648
416,743
417,836
418,1184
419,1641
420,2603
421,4053
422,6686
423,10338
424,15160
425,20852
426,26391
427,32072
428,36286
429,38551
430,37733
431,34255
432,29762
433,23894
434,17867
435,12660
436,8269
437,5141
438,3037
439,1721
440,1098
441,654
442,439
443,374
444,321
445,334
446,296
447,326
448,305
449,304
450,308
451,305
452,304
453,291
454,314
455,321
456,306
457,322
458,321
459,354
460,317
461,338
462,366
463,371
464,419
465,504
466,625
467,822
468,1125
469,1538
470,2155
471,2895
472,3707
473,4500
474,5224
475,5762
476,6020
477,5700
478,5294
479,4455
480,3657
481,2828
482,1960
483,1330
484,905
485,580
486,426
487,341
488,247
489,230
490,195
491,197
492,212
493,182
494,171
495,163
496,157
497,189
498,169
499,180
500,160
501,156
502,166
503,150
504,159
505,178
506,195
507,179
508,173
509,169
510,163
511,178
512,179
513,161
514,195
515,176
516,159
517,147
518,138
519,175
520,160
521,176
522,169
523,164
524,207
525,174
526,204
527,191
528,186
529,180
530,166
531,160
532,188
533,193
534,163
535,173
536,185
537,176
538,176
539,160
540,155
541,191
542,184
543,203
544,206
545,241
546,268
547,296
548,377
549,536
550,673
551,968
552,1310
553,1620
554,1988
555,2348
556,2611
557,2747
558,2664
559,2556
560,2400
561,2012
562,1634
563,1234
564,984
565,665
566,479
567,330
568,257
569,225
570,175
571,185
572,173
573,164
574,144
575,135
576,139
577,136
578,143
579,134
580,139
581,155
582,133
583,163
584,151
585,132
586,150
587,169
588,131
589,158
590,147
591,135
592,140
593,161
594,116
595,127
596,142
597,127
598,136
599,130
600,126
601,154
602,129
603,117
604,125
605,152
606,131
607,127
608,132
609,134
610,131
611,186
612,189
613,195
614,211
615,255
616,316
617,356
618,402
619,453
620,461
621,531
622,441
623,467
624,447
625,395
626,325
627,293
628,223
629,195
630,209
631,192
632,169
633,151
634,162
635,128
636,127
637,135
638,121
639,134
640,126
641,123
642,115
643,104
644,82
645,129
646,121
647,123
648,106
649,121
650,107
651,108
652,105
653,111
654,117
655,105
656,104
657,107
658,119
659,123
660,125
661,106
662,102
663,102
664,120
665,108
666,115
667,116
668,105
669,116
670,112
671,109
672,120
673,110
674,120
675,102
676,89
677,130
678,111
679,95
680,122
681,111
682,96
683,91
684,94
685,96
686,100
687,112
688,104
689,103
690,114
691,106
692,104
693,106
694,102
695,121
696,124
697,109
698,147
699,106
700,111
701,111
702,138
703,123
704,142
705,125
706,133
707,108
708,106
709,123
710,108
711,98
712,92
713,116
714,113
715,93
716,93
717,97
718,88
719,91
720,86
721,121
722,105
723,76
724,94
725,94
726,81
727,86
728,109
729,83
730,83
731,64
732,100
733,72
734,99
735,86
736,92
737,87
738,85
739,91
740,63
741,76
742,84
743,81
744,69
745,66
746,81
747,79
748,94
749,90
750,73
751,79
752,87
753,82
754,88
755,77
756,75
757,85
758,83
759,84
760,70
761,81
762,74
763,57
764,92
765,72
766,84
767,77
768,83
769,91
770,82
771,87
772,65
773,82
774,71
775,85
776,89
777,77
778,79
779,84
780,71
781,64
782,69
783,78
784,101
785,86
786,76
787,85
788,88
789,63
790,86
791,82
792,73
793,77
794,94
795,69
796,66
797,77
798,60
799,78
800,65
801,69
802,61
803,54
804,74
805,69
806,76
807,79
808,67
809,89
810,63
811,57
812,49
813,70
814,60
815,87
816,68
817,73
818,67
819,77
820,65
821,76
822,75
823,84
824,61
825,76
826,69
827,64
828,53
829,69
830,62
831,67
832,57
833,65
834,51
835,58
836,77
837,70
838,71
839,74
840,51
841,57
842,56
843,62
844,57
845,66
846,66
847,71
848,67
849,69
850,66
851,72
852,82
853,60
854,63
855,111
856,75
857,73
858,105
859,88
860,94
861,107
862,99
863,80
864,83
865,71
866,59
867,75
868,67
869,67
870,61
871,56
872,57
873,65
874,55
875,68
876,54
877,59
878,74
879,62
880,48
881,48
882,56
883,65
884,57
885,57
886,58
887,59
888,57
889,61
890,56
891,54
892,51
893,52
894,63
895,61
896,60
897,66
898,51
899,59
900,56
901,82
902,61
903,72
904,66
905,73
906,66
907,70
908,71
909,67
910,81
911,94
912,74
913,67
914,78
915,68
916,75
917,61
918,71
919,94
920,79
921,70
922,97
923,97
924,95
925,92
926,88
927,103
928,106
929,103
930,130
931,133
932,129
933,132
934,141
935,129
936,127
937,137
938,139
939,125
940,143
941,147
942,135
943,135
944,170
945,142
946,171
947,146
948,148
949,132
950,115
951,126
952,133
953,140
954,120
955,104
956,132
957,96
958,112
959,107
960,100
961,105
962,98
963,87
964,85
965,86
966,57
967,65
968,67
969,53
970,61
971,59
972,69
973,55
974,57
975,57
976,40
977,46
978,55
979,45
980,58
981,56
982,58
983,47
984,58
985,45
986,50
987,44
988,47
989,50
990,44
991,50
992,48
993,54
994,65
995,73
996,70
997,60
998,67
999,86
1000,90
1001,84
1002,83
1003,90
1004,78
1005,78
1006,105
1007,71
1008,78
1009,65
1010,61
1011,50
1012,48
1013,50
1014,39
1015,45
1016,30
1017,32
1018,34
1019,37
1020,38
1021,47
1022,31
1023,35
1024,41
1025,40
1026,31
1027,28
1028,33
1029,35
1030,35
1031,30
1032,38
1033,38
1034,35
1035,32
1036,31
1037,45
1038,53
1039,54
1040,66
1041,57
1042,56
1043,58
1044,50
1045,68
1046,47
1047,62
1048,60
1049,48
1050,66
1051,60
1052,75
1053,57
1054,54
1055,58
1056,61
1057,67
1058,50
1059,50
1060,55
1061,40
1062,43
1063,40
1064,40
1065,43
1066,38
1067,47
1068,47
1069,35
1070,43
1071,44
1072,31
1073,40
1074,43
1075,29
1076,24
1077,34
1078,41
1079,39
1080,35
1081,37
1082,24
1083,32
1084,34
1085,32
1086,31
1087,28
1088,24
1089,25
1090,24
1091,26
1092,34
1093,26
1094,30
1095,31
1096,20
1097,28
1098,29
1099,22
1100,19
1101,34
1102,12
1103,31
1104,19
1105,25
1106,21
1107,15
1108,29
1109,21
1110,25
1111,25
1112,24
1113,32
1114,16
1115,24
1116,28
1117,24
1118,21
1119,29
1120,19
1121,18
1122,32
1123,26
1124,31
1125,27
1126,29
1127,32
1128,39
1129,35
1130,34
1131,42
1132,40
1133,39
1134,36
1135,51
1136,61
1137,61
1138,90
1139,80
1140,88
1141,125
1142,120
1143,119
1144,137
1145,148
1146,140
1147,158
1148,162
1149,205
1150,168
1151,180
1152,156
1153,186
1154,152
1155,173
1156,150
1157,112
1158,111
1159,90
1160,66
1161,54
1162,38
1163,45
1164,32
1165,28
1166,25
1167,27
1168,17
1169,18
1170,15
1171,17
1172,15
1173,15
1174,19
1175,23
1176,16
1177,23
1178,22
1179,14
1180,23
1181,31
1182,24
1183,19
1184,14
1185,20
1186,12
1187,13
1188,29
1189,25
1190,22
1191,22
1192,9
1193,20
1194,23
1195,12
1196,14
1197,20
1198,17
1199,15
1200,9
1201,15
1202,15
1203,18
1204,17
1205,13
1206,21
1207,18
1208,21
1209,14
1210,17
1211,11
1212,16
1213,15
1214,17
1215,21
1216,14
1217,18
1218,17
1219,10
1220,14
1221,13
1222,14
1223,9
1224,13
1225,19
1226,13
1227,17
1228,15
1229,16
1230,10
1231,15
1232,20
1233,13
1234,8
1235,9
1236,8
1237,14
1238,11
1239,14
1240,22
1241,12
1242,16
1243,11
1244,9
1245,12
1246,18
1247,13
1248,13
1249,10
1250,13
1251,10
1252,6
1253,10
1254,7
1255,10
1256,13
1257,19
1258,17
1259,15
1260,17
1261,10
1262,15
1263,9
1264,10
1265,16
1266,6
1267,7
1268,13
1269,13
1270,10
1271,10
1272,9
1273,13
1274,17
1275,10
1276,12
1277,10
1278,15
1279,12
1280,15
1281,8
1282,13
1283,11
1284,13
1285,18
1286,15
1287,12
1288,14
1289,15
1290,15
1291,23
1292,30
1293,29
1294,32
1295,45
1296,31
1297,38
1298,36
1299,43
1300,33
1301,26
1302,29
