Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"ponto_X_08_vermelho"
Duration Time,30.018
Ambient Temperature,"99.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"750936"
Raw Accumulated Counts,"1050813"
Valid Count Last Packet,"23855"
Raw Count Last Packet,"34013"
Live Time,27.770000
HV DAC,170
HV ADC,40.000000
Filament DAC,201
Filament ADC,10.000000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0872
Number of Channels,2048
Vacuum,780
Channel#,Intensity
0,"44799"
1,"32472"
2,"19296"
3,"9227"
4,"3698"
5,"1320"
6,"344"
7,"82"
8,"33"
9,"17"
10,"15"
11,"8"
12,"12"
13,"1"
14,"7"
15,"3"
16,"3"
17,"5"
18,"1"
19,"1"
20,"4"
21,"1"
22,"2"
23,"1"
24,"1"
25,"2"
26,"1"
27,"2"
28,"0"
29,"6"
30,"27"
31,"80"
32,"104"
33,"120"
34,"111"
35,"128"
36,"102"
37,"107"
38,"109"
39,"111"
40,"95"
41,"100"
42,"116"
43,"125"
44,"132"
45,"125"
46,"114"
47,"105"
48,"121"
49,"113"
50,"124"
51,"96"
52,"103"
53,"109"
54,"103"
55,"90"
56,"99"
57,"102"
58,"111"
59,"115"
60,"104"
61,"123"
62,"108"
63,"93"
64,"109"
65,"102"
66,"107"
67,"89"
68,"94"
69,"108"
70,"96"
71,"127"
72,"104"
73,"83"
74,"92"
75,"92"
76,"115"
77,"103"
78,"82"
79,"81"
80,"95"
81,"79"
82,"77"
83,"84"
84,"117"
85,"107"
86,"112"
87,"104"
88,"103"
89,"93"
90,"94"
91,"91"
92,"99"
93,"94"
94,"105"
95,"98"
96,"100"
97,"105"
98,"107"
99,"111"
100,"94"
101,"97"
102,"111"
103,"110"
104,"98"
105,"93"
106,"103"
107,"117"
108,"128"
109,"122"
110,"173"
111,"211"
112,"254"
113,"279"
114,"355"
115,"355"
116,"309"
117,"295"
118,"252"
119,"214"
120,"198"
121,"207"
122,"171"
123,"185"
124,"198"
125,"181"
126,"250"
127,"245"
128,"316"
129,"453"
130,"642"
131,"869"
132,"1109"
133,"1285"
134,"1360"
135,"1369"
136,"1349"
137,"1172"
138,"1039"
139,"952"
140,"1074"
141,"1069"
142,"1185"
143,"1180"
144,"1315"
145,"1457"
146,"1548"
147,"1581"
148,"1427"
149,"1251"
150,"1124"
151,"971"
152,"957"
153,"943"
154,"1114"
155,"1251"
156,"1256"
157,"1268"
158,"1125"
159,"897"
160,"787"
161,"704"
162,"715"
163,"725"
164,"786"
165,"848"
166,"855"
167,"762"
168,"706"
169,"597"
